"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-03 11:00","2012","07","03","11:00","17.6","","11.6","","68","","","","16","","28","","48.3","","87.77","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-03 12:00","2012","07","03","12:00","19.9","","6.0","","40","","","","24","","37","","64.4","","87.74","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-03 13:00","2012","07","03","13:00","17.8","","3.4","","38","","","","24","","41","","48.3","","87.82","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-03 14:00","2012","07","03","14:00","16.6","","3.3","","41","","","","25","","56","","64.4","","87.87","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-03 15:00","2012","07","03","15:00","16.1","","4.0","","44","","","","23","","37","","64.4","","87.91","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-03 16:00","2012","07","03","16:00","18.2","","3.0","","36","","","","23","","35","","64.4","","87.87","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-03 17:00","2012","07","03","17:00","18.5","","2.1","","33","","","","23","","33","","64.4","","87.84","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-03 18:00","2012","07","03","18:00","16.1","","2.0","","39","","","","27","","37","","64.4","","87.90","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-03 19:00","2012","07","03","19:00","16.1","","3.1","","42","","","","25","","28","","48.3","","87.90","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-03 20:00","2012","07","03","20:00","15.4","","1.7","","39","","","","25","","30","","48.3","","87.96","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-03 21:00","2012","07","03","21:00","14.1","","0.6","","40","","","","26","","28","","25.0","","88.04","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-03 22:00","2012","07","03","22:00","13.5","","0.6","","41","","","","27","","32","","24.1","","88.06","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-03 23:00","2012","07","03","23:00","13.6","","0.2","","40","","","","26","","28","","24.1","","88.07","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 00:00","2012","07","04","00:00","14.5","","-0.9","","35","","","","26","","41","","24.1","","88.07","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 01:00","2012","07","04","01:00","14.3","","-0.5","","36","","","","26","","28","","24.1","","88.13","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 02:00","2012","07","04","02:00","14.2","","-0.7","","36","","","","27","","35","","24.1","","88.16","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 03:00","2012","07","04","03:00","13.5","","-0.5","","38","","","","28","","24","","24.1","","88.21","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 04:00","2012","07","04","04:00","13.1","","-0.5","","39","","","","26","","26","","32.2","","88.27","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 05:00","2012","07","04","05:00","12.8","","-0.2","","41","","","","26","","19","","48.3","","88.30","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 06:00","2012","07","04","06:00","13.6","","0.1","","40","","","","26","","33","","64.4","","88.37","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 07:00","2012","07","04","07:00","14.9","","0.1","","36","","","","27","","44","","64.4","","88.43","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 08:00","2012","07","04","08:00","15.9","","0.6","","35","","","","26","","48","","64.4","","88.49","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 09:00","2012","07","04","09:00","16.8","","1.3","","35","","","","27","","44","","64.4","","88.54","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 10:00","2012","07","04","10:00","17.5","","1.6","","34","","","","27","","32","","64.4","","88.62","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 11:00","2012","07","04","11:00","17.9","","2.0","","34","","","","28","","39","","64.4","","88.67","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 12:00","2012","07","04","12:00","18.6","","3.8","","37","","","","31","","24","","64.4","","88.75","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 13:00","2012","07","04","13:00","18.2","","6.0","","45","","","","2","","13","","64.4","","88.81","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 14:00","2012","07","04","14:00","18.5","","5.8","","43","","","","3","","17","","64.4","","88.84","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 15:00","2012","07","04","15:00","17.8","","8.0","","53","","","","2","","32","","64.4","","88.90","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 16:00","2012","07","04","16:00","17.5","","8.2","","54","","","","2","","26","","64.4","","88.95","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 17:00","2012","07","04","17:00","17.0","","8.4","","57","","","","3","","19","","64.4","","89.00","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 18:00","2012","07","04","18:00","16.7","","7.7","","55","","","","3","","20","","64.4","","89.03","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 19:00","2012","07","04","19:00","16.0","","7.9","","59","","","","3","","22","","64.4","","89.06","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 20:00","2012","07","04","20:00","15.5","","7.4","","58","","","","5","","17","","48.3","","89.12","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 21:00","2012","07","04","21:00","13.6","","9.3","","75","","","","4","","9","","48.3","","89.19","","","","","","Rain Showers"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 22:00","2012","07","04","22:00","12.6","","8.3","","75","","","","8","","7","","25.0","","89.21","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-04 23:00","2012","07","04","23:00","12.6","","6.6","","67","","","","13","","7","","25.0","","89.25","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 00:00","2012","07","05","00:00","10.9","","6.5","","74","","","","14","","9","","25.0","","89.27","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 01:00","2012","07","05","01:00","10.4","","7.0","","79","","","","","","0","","25.0","","89.27","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 02:00","2012","07","05","02:00","9.5","","6.8","","83","","","","33","","9","","25.0","","89.27","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 03:00","2012","07","05","03:00","8.6","","6.4","","86","","","","33","","6","","25.0","","89.26","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 04:00","2012","07","05","04:00","8.2","","6.1","","87","","","","","","0","","32.2","","89.29","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 05:00","2012","07","05","05:00","8.2","","5.8","","85","","","","","","0","","48.3","","89.31","","","","","","Mainly Clear"
